18256374646115317,"{'data': [{'id': '18326829985015644'}, {'id': '17977262650838504'}, {'id': '17976481771831685'}]}",19,CAROUSEL_ALBUM,"・
・
ｷﾒﾁｬｯﾀ
・
・
 #snap #写ルンです",,
17950750583487764,"{'data': [{'id': '17967293740976941'}, {'id': '18014576116480252'}, {'id': '17950115381147871'}]}",8,CAROUSEL_ALBUM,".
.
2022.01.16
.
初めてのちハレのオフライン勉強会に参加して、そのまま遊んで次の日美容院に行った時の写真。いいお天気だった〜
オフライン勉強会の日は、休憩無しの夜勤でそのまま寝ずに行って、その後よく遊んだな自分って思うけど、ほんとこの日が無かったら今は無いんだろうなとも思う。
初めましての場所が昔からとても苦手なのによく飛び込んで行ったなとも思うし、そのまま初対面なのによく遊びに行ったな、とも思う。ほんと過去の自分ありがとうって感じ。まぁもうちょっとこのハードスケジュールはしんどすぎて出来ないけど笑
人生は巡り合わせってのを強く感じるなぁ。
.
#写ルンです
#フィルムカメラに恋してる#filmに魅せられて
#愛おしい記憶の記録
.",,
18058865887352407,"{'data': [{'id': '17947837484186110'}, {'id': '18223338577082539'}, {'id': '18074938411320078'}]}",38,CAROUSEL_ALBUM,"🪺🪺

🏷
ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ
ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ
ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ
#filmphotography #filmcamera #film_jp #写ルンです #写るんです #写ルンですのある生活 #写ルンですのある生活 #vsco #vscocam #写真好きな人と繋がりたい  #フィルムカメラに恋してる #filmphotographic #生活とフィルム #生活と日々フィルム #liveforthestory #35mm #35mmfilm #thefilmcommunity #フィルム写真 #フィルム写真普及委員会 #filmwave #写ルンですに恋してる#fujifilm #富士フイルムの色が好き #富士フイルム倶楽部 #フィルムカメラ初心者 #フィルムカメラで残す日常",,
17956387565178901,,,IMAGE,"はじめましての時の写ルンです
データ化してきた( ˶'-'˶)💗🖤",,https://scontent-nrt1-1.cdninstagram.com/v/t51.29350-15/315317327_1590478831370272_4557405864300315619_n.jpg?_nc_cat=100&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=-bAU0hbGJGAAX8RJETp&_nc_ht=scontent-nrt1-1.cdninstagram.com&edm=AEoDcc0EAAAA&oh=00_AfBR43oTZgRNZcmXBoQYuF8rXaATkffzSKc0rTB4DEINew&oe=6379C045
17898702335694606,,57,IMAGE,,,https://scontent-nrt1-1.cdninstagram.com/v/t51.29350-15/315732938_155187830549825_7916158615414600756_n.jpg?_nc_cat=104&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=GMQcjKHkcQgAX8F_wpk&_nc_ht=scontent-nrt1-1.cdninstagram.com&edm=AEoDcc0EAAAA&oh=00_AfAkIaNw2F2Bydz8s03jfow1lDQPzn645NnRDLaWjF1XYQ&oe=637889F7
18315808822067876,,11,IMAGE,"│⁡
⁡│⁡
⁡│⁡
⁡⁡ ⁡
⁡ ⁡
⁡ 
⁡人生初ウォータースライダーが付いてる⁡⁡
⁡ホテルに行ってきた⁡
⁡⁡
⁡ウォータースライダーなんて⁡
8年ぶりくらいに乗ったけど
⁡⁡びっくりするくらい楽しかったけど
思ってるより長くてビビっちゃって⁡
⁡⁡
⁡なんか大人になってしまったなとしみじみ⁡⁡
⁡⁡
⁡学生の頃は身体動かすのが趣味で⁡
⁡⁡怖いもの知らずだったのになぁ⁡
⁡ ⁡
⁡
⁡⁡でもなんだかんだやっぱり楽しくて
⁡何回も乗り方変えて⁡滑りまくった⁡
⁡
⁡⁡
彼も何回も一緒に滑ってくれて⁡
⁡ニコニコしてて可愛かったなぁ⁡
⁡なんか一緒に遊園地行った気分になって⁡
⁡いいリフレッシュになった
⁡⁡ ⁡
⁡ ⁡また行きたいホテルNo.1⁡
⁡ ⁡
⁡ 
⁡ ⁡
⁡│⁡
⁡│⁡
⁡│",,https://scontent-nrt1-1.cdninstagram.com/v/t51.29350-15/315425588_1177457643155265_5043743295252238963_n.webp?stp=dst-jpg&_nc_cat=110&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=7BZGD9HzJ20AX-LCcAD&_nc_ht=scontent-nrt1-1.cdninstagram.com&edm=AEoDcc0EAAAA&oh=00_AfC0P1x0_obl_LkV-TzOgM5wLfUWKSEQDWZp3ULjPRgoPg&oe=6379CD27
id,children,like_count,media_type,caption,permalink,media_url
17923609700614950,"{'data': [{'id': '17964278579025893'}, {'id': '17943443333276267'}, {'id': '17953972379195435'}]}",7,CAROUSEL_ALBUM,".
.
2022.01.06
.
久しぶりの雪が嬉しくて1人ではしゃいでた。
雪降った次の日は案の定骨折が多かったのでくれぐれも怪我にはご注意を、、
今年も雪降るといいな〜〜！！！
.
#写ルンです
#フィルムカメラに恋してる#filmに魅せられて
#愛おしい記憶の記録
.",,
17986968238650683,,,IMAGE,vol.3,,https://scontent-nrt1-1.cdninstagram.com/v/t51.29350-15/315863288_3343738372614327_466199623421863995_n.jpg?_nc_cat=107&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=YOQTer20fPwAX_xkhd-&_nc_ht=scontent-nrt1-1.cdninstagram.com&edm=AEoDcc0EAAAA&oh=00_AfBMqQfb2ds2nU4i7bvsSbK_ST3pZJNawCJfsQ7a7PUqsg&oe=63784C7B
17960850695116149,"{'data': [{'id': '17962145560946608'}, {'id': '17978857363686787'}]}",17,CAROUSEL_ALBUM,"☘︎

かつてゴールデンに憧れてたことを思い出して
出会ったワンちゃん撮らせて頂きました♪
中2の時の自由研究 犬についてだったので
あの時もたくさん撮らせてもらった。
人見知りな我が子たちドン引きでーす
.
.
.
.
.
#写ルンです#写ルンですのある生活#その光を焼きつけて#瞳の中のノスタルジア#ノスタルジーな瞬間を#犬#ゴールデンレトリバー#일상#일본감성#필름사진#스냅#snap#filmphotography#sharing_warm_time#genic_mag#film_jp#reco_ig#fujifilm#igersjp#yousawscenes",,
