id,like_count,caption,hash_tag,permalink
18010351081431927,16129,"ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ
ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ
3年。
去年一緒に暮らし始めてから、良くも悪くも自分を包み隠さずに素でいられる数少ない存在の1人になりました。付き合いたての初々しさは薄れてきて、時にそれが嬉しかったり少し寂しかったり。。彼女との幸せには慣れても当たり前とは思いたくない毎日です。自分には見合わないくらい贅沢で綺麗な人。これからも色んな場所に行って色んなもの食べて色んな景色を一緒に見ていけたら嬉しい◎
ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ
どんどん綺麗になって行く早捺と
どんどん老けていく自分の写真を添えておきます。
いつもありがとう〜
ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ
YouTubeももう少し待っててください◎
ストック溜まって大変なことになってます🧑🏻‍💻😂
ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ",,https://www.instagram.com/p/CgZQf5nv1jW/
17987415577634767,0,"swipe≫まずはキャプションを読んでいる人にお伝え。12月、ポトレ枠ちょっとだけ増やせるかもしれません。。。

コソコソ。

あーポトレ撮りてぇ。

.

💃🏻 __nnnrryyo 
📍 Aichi
📷 Sony α7Ⅲ+Sony FE 35mm F1.4 GM
🎨 Capture One Pro 

.

~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
▪︎Works▷ piroji._.fotografeee.works 
▪︎Wedding▷ piroji._.fotografeee.wedding 
▪︎Film▷ piroji._.fotografeee.film 
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~

.

 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
","#写ルンです,#genic_mag,#誰かの記憶の片隅に,#白紙の1ページ,#ノスタルジーな瞬間を,#その瞬間は永遠の思い出,#私が撮る一枚,#瞳の中のノスタルジア,#reco_ig,#何気ない瞬間を残したい,#everyones_photo_club,#screen_archive,#jp_portrait部,#good_portraits_world,#ポトレ撮影隊,#jp_portrait_collection,#portraitegypt,#gris_cartier_bresson,#top_portraits,#777luckyfish,#pulsefilm,#hibi_jp,#人像寫真,#rox_captures,#smilesmilesmile,#ポトレのセカイ,#純猥談写真,#みんすと,#iedemo_graphy,#스냅사진",https://www.instagram.com/p/ClHzKpHPzqE/
17949771260483089,1681,"ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ
勝手にイメージカラーはオレンジ色だと思っているので
オレンジ色の花を選んでみた😌今年のハロウィンもお家でピザを食べて過ごします◎

ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ載せてない写真をもっとみたい等のメッセージ沢山ありがとうございました。出来る限り質問は返信しているのでメッセージ送ってくださった方はもう少し待っていて頂けると嬉しいです😌🙇‍♂️",,https://www.instagram.com/p/CkYHHdqPRz5/
17944517378167400,3492,"夜中に花火した夏のfilm( ◠‿◠ )♡

","#film,#filmカメラ,#フィルムカメラ,#フィルム,#写ルンです,#写ルンですのある生活",https://www.instagram.com/p/Cjpx0WnLaC4/
18324711478063902,38,2022.11.2 北海道大学,,https://www.instagram.com/p/ClLpshWvjyb/
17957387876285494,75,"☆
【香淀の大イチョウ🍁】③
☆
もぉ〜僕メロメロ❤
☆
撮影していただきました📸✨
（笑）
☆
　　
                                 
    ","#ソニーα7Ⅲ,#ソニー,#sony,#α7Ⅲ,#α7m3,#ilce7m3,#デジタル一眼,#ミラーレス,#フルサイズ,#写真が人生を豊かに,#三次市,#三次市prカメラマン,#広島県prカメラマン,#エンジョイフォトライフ,#エンジョイカメラライフ,#美見欲,#tamron70180f28,#tamron,#タムロン,#タムロンレンズ,#香淀の大イチョウ,#イチョウ,#三次よし,#三次わくわくさんぽ,#ええじゃろ広島,#ええじゃろ広島の秋2022,#写ルンです,#フジカラー,#fujicolor,#富士フイルム",https://www.instagram.com/p/ClLNhNdh2oG/
18230564722157362,0,"⁡
⁡
行ってみたかったカフェへドライブ
川を眺めてると鵜の群れが横切ったり
カモの子どもたちが遡上してた
日が暮れると一気に空気感が変わる、ちょっとこわい
自然を近く感じられる休日でした

 
  
⁡
⁡","#フィルムカメラ,#nikonf80,#film,#superiaxtra400",https://www.instagram.com/p/ClI8_i9Pfkb/
17941589660388781,16992,"恋の旅は2日目に突入✈️

みう・きさき・ゆきのと
想いを寄せる人との距離は
どう変化する…❤️？",,https://www.instagram.com/p/CkfjywmPO_W/
18261060490129062,8618,"季節感なんて気にしないのでホラーナイトに行った時のやつを今あげる👻🎃
⁡
トップス:  gu_for_all_ 
ジレ:  happyjohn_official 
⁡
       
⁡
もう冬になってきたけどみんな冬服買った？コートとか何着る？（LINE？）クリスマスの予定は？ないよね？（圧）","#gu,#happyjohn,#ユニバ,#usj,#ホラーナイト,#ハロウィン,#👻,#🎃,#写ルンです,#フィルムカメラ",https://www.instagram.com/p/ClI0pBWBjmt/
18263660197105229,29,"Myworld
:
:

「始まりの歌」歌詞
歌：緑黄色社会
作詞：長屋晴子
作曲：長屋晴子
君は越えていったんだ 僕のキャパシティを 君は越えていったんだ  羨んでいるのさ 君の掴んだもの 羨んでいるのさ  足元の鎖が疎ましく感じてる 自分で繋いだだけなのに 耳元で囁く甘い心の声に うずいてる　揺らいでる 目覚まし時計が鳴る  さあ始めようか 僕のイメージの先へ飛び立とう 何度でも始まりの歌を歌おうルラララ もう終わりなんて決めつけてしまわないように ララルラ　ララルラ　ララルラ さあ　歌おう

:
                        ","#写真部,#カメラ男子,#ig_japan,#photography,#photographer,#instagood,#写ルンです,#写真日記,#instafellow,#eoskissx9i,#一眼レフ,#フォローバック,#camera,#coregraphy,#ファインダー越しの私の世界,#instajapan,#flowerslovers,#いいね返し,#写真好き,#フォロバ100,#Instagram,#写真,#自然,#風景,#natural,#view,#flower,#花,#beautiful",https://www.instagram.com/p/ClLoJbuPVxE/
18311748529071155,0,"・
⁡
まとめシリーズ第60弾🎉
今回は「私たちが見た広角レンズの世界」についてお届け📸

意外と敬遠される広角の世界🫢
風景だけでなく人を入れた楽しみ方について
SNSで人気のフォトグラファーに聞きました✨

_tai_lll notch0225 
masaki_photograph kazpic2 
ご協力ありがとうございました👏

少しでも参考になれば幸いです😳
⁡
少しでも「タメになった👏」という方は保存やストーリーでシェアしていただけると同じ体験をする方が増えるので嬉しいです🤤
⁡
⁡
コメントやストーリーズでのシェアなど嬉しいのでお気軽にご意見ください🙇‍♂️
⁡
⁡
⁡
￣￣￣￣￣￣￣￣￣
 僕からのお願い👏
＿＿＿＿＿＿＿＿＿
ストーリーで写真を共有する際は
僕をタグ付けしてくれると嬉しいです！
そうするとストーリーへ遊びに行くことができます😳
共有や反応もしたいのでよろしくお願いします🤝
⁡
⁡
⁡
撮影依頼など気軽にご相談ください！
DMして頂けると嬉しいです😆
⁡
⁡
⁡
           ","#写ルンです,#写ルンですのある生活,#写ルンです女子,#写ルンです好きな人と繋がりたい,#なにげない日常が好き,#カメラ初心者の人と繋がりたい,#カメラのある生活,#写真好きな人と繋がりたい,#nicostop,#フィルムカメラ初心者,#幸せな瞬間をもっと世界に,#写真好きな人と繋がりたい,#写真初心者",https://www.instagram.com/p/CkS6pBEPjts/
17933029040584735,55,"_
アイロンプリントに写ルンです印刷して
作ったオリジナルスウェット🧶

　　
今日は1ヶ月ぶりのイベント出店
ありがとうございました🎪🥤

_",,https://www.instagram.com/p/ClLxLSqyrXu/
18050255956370919,0,それが何かと聞かれても、答えられませんでした、、,,https://www.instagram.com/p/ClL2XIhvHCs/
17903244974619249,8,Timberland☻,,https://www.instagram.com/p/ClL-IfKLiIC/
18041184853381036,0,とにかく何か食べなくちゃ、そんなところから始めるしかない わたしのいまは,,https://www.instagram.com/p/ClKuUbavEPq/
18002225860531704,17,"さなちよin鎌倉🌊🎸

                         ","#フィルムカメラ,#フィルム,#写ルンです,#contaxt2,#kodakgold200,#kodakcolorplus200,#minolta,#film,#filmphotography,#ポートレート,#portrait,#portra400,#由比ヶ浜",https://www.instagram.com/p/ClLvsAuJnEF/
18303211813073216,4,"JR余市駅

駅の隣には、直結の余市町観光物産センター エルラプラザがあります。
余市の名物が沢山並んでいます。",,https://www.instagram.com/p/ClL0KerLIOq/
18332772871000829,0,"💙 🕊𓈒 𓂂𓏸

全然見つけれなくてプレ花さんに
たくさん情報貰って手に入れた写ルンです📸

テーブルコーデの邪魔にならないように
席札と合わせてゴールドにした😌✨

セリアのペーパーです🫶🏻
ガタガタです（笑）
絶対手に入れると熱い思いで
必要数 手に入れる前から準備した🤣🤣

元のテープの粘着で付けれたけど
ヨドバシで取り寄せした子たちは
綺麗に剥がれたので両面テープが必要だった︎👍🏻 ̖́-

 

                ","#写るんですdiy,#yunael_diy,#プレ花嫁,#花嫁diy,#写ルンです,#ピアリー,#フィタウ,#piary認定花嫁サポーター,#fitau公式アンバサダー,#結婚式準備,#結婚式diy,#結婚式diyアイデア,#プレ花嫁diy,#2022冬婚,#プレ花嫁さんと繋がりたい,#ちーむ1203,#2022冬婚,#2023年春婚",https://www.instagram.com/p/ClJIepTPYFl/
18336106117000439,39,🌊🐳🐠🐋,,https://www.instagram.com/p/ClLUoiYPgtH/
17892984872694710,0,"・
⁡
まとめシリーズ第59弾🎉
今回は「私たちが35mmを選ぶ理由」についてお届け📸

標準レンズで50mmか35mmで迷う人は多いはず🥺
35mmはいったいどんな画角なのか？
そんな35mmの魅力を作例交えて
SNSで人気のフォトグラファーに聞きました✨
sen_ko_sya k_botchan asami_photograph 
ご協力ありがとうございました👏

少しでも参考になれば幸いです😳
⁡
少しでも「タメになった👏」という方は保存やストーリーでシェアしていただけると同じ体験をする方が増えるので嬉しいです🤤
⁡
⁡
コメントやストーリーズでのシェアなど嬉しいのでお気軽にご意見ください🙇‍♂️
⁡
⁡
⁡
￣￣￣￣￣￣￣￣￣
 僕からのお願い👏
＿＿＿＿＿＿＿＿＿
ストーリーで写真を共有する際は
僕をタグ付けしてくれると嬉しいです！
そうするとストーリーへ遊びに行くことができます😳
共有や反応もしたいのでよろしくお願いします🤝
⁡
⁡
⁡
撮影依頼など気軽にご相談ください！
DMして頂けると嬉しいです😆
⁡
⁡
⁡
           ","#写ルンです,#写ルンですのある生活,#写ルンです女子,#写ルンです好きな人と繋がりたい,#なにげない日常が好き,#カメラ初心者の人と繋がりたい,#カメラのある生活,#写真好きな人と繋がりたい,#nicostop,#フィルムカメラ初心者,#幸せな瞬間をもっと世界に,#写真好きな人と繋がりたい,#写真初心者",https://www.instagram.com/p/CjSkmMivAug/
17999170447537576,33,2022.11.2 北海道大学,,https://www.instagram.com/p/ClLpdvDvU0o/
18224296018083084,15,".
1-2-3
.
.
.
M:
haruka_mihashi 
.
.
.",,https://www.instagram.com/p/ClKyuPTSNdp/
17952287714113997,43,"涎
.
.
.

                ","#フィルムカメラ,#film,#フィルム,#フィルムに恋してる,#生活とフィルム,#関西カメラ部,#ファインダー越しの私の世界,#写真好きな人と繋がりたい,#フィルム写真普及委員会,#写ルンです,#青,#被写体募集,#ポートレート,#portrait,#ノスタルジーな瞬間を",https://www.instagram.com/p/ClL1cM6vIxu/
